I, [2018-05-10T10:58:28.070099 #4394]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-05-10T10:58:28.070511 #4394] ERROR -- Kitchen: ------Exception-------
E, [2018-05-10T10:58:28.070540 #4394] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-05-10T10:58:28.070560 #4394] ERROR -- Kitchen: Message: Kitchen YAML file /Users/ecalabretta/inspec-repo/windows_pci/.kitchen.yml does not exist.
E, [2018-05-10T10:58:28.070578 #4394] ERROR -- Kitchen: ----------------------
E, [2018-05-10T10:58:28.070595 #4394] ERROR -- Kitchen: ------Backtrace-------
E, [2018-05-10T10:58:28.070611 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-05-10T10:58:28.070627 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2018-05-10T10:58:28.070662 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-05-10T10:58:28.070678 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-05-10T10:58:28.070695 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-05-10T10:58:28.070711 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-05-10T10:58:28.070727 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-05-10T10:58:28.070743 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-05-10T10:58:28.070759 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-05-10T10:58:28.070775 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-05-10T10:58:28.070792 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-05-10T10:58:28.070807 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-05-10T10:58:28.070823 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-05-10T10:58:28.070840 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-05-10T10:58:28.070856 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-05-10T10:58:28.070872 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-05-10T10:58:28.070888 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-05-10T10:58:28.070904 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-05-10T10:58:28.070920 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-05-10T10:58:28.070936 #4394] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2018-05-10T10:58:28.070952 #4394] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `load'
E, [2018-05-10T10:58:28.070968 #4394] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:255:in `<main>'
E, [2018-05-10T10:58:28.070983 #4394] ERROR -- Kitchen: ----End Backtrace-----
